Date,Price,Open,Vol.
6/17/2020,1735.6,1735.3,140.07
6/16/2020,1736.5,1732.3,182.42
6/15/2020,1727.2,1740.7,200.23
6/12/2020,1737.3,1733.6,151.4
6/11/2020,1739.8,1746.6,205.35
6/10/2020,1720.7,1718.9,198.76
6/9/2020,1721.9,1703.9,182.91
6/8/2020,1705.1,1686.7,154.77
6/5/2020,1683,1720.8,273.68
6/4/2020,1727.4,1702.8,198.72
6/3/2020,1704.8,1733.7,256.52
6/2/2020,1734,1750.3,175.35
6/1/2020,1750.3,1749.8,146.13
5/29/2020,1751.7,1732.7,150.11
5/28/2020,1728.3,1725,164.82
5/27/2020,1719.1,1717.2,3.06
5/26/2020,1717.3,1739.8,3.44
5/25/2020,1705.6,1734.8,313.17
5/22/2020,1744.3,1732.2,0.46
5/21/2020,1729.2,1757.4,0.56
5/20/2020,1758.7,1756.2,0.2
5/19/2020,1751.6,1742.9,0.27
5/18/2020,1739.6,1766.9,0.41
5/15/2020,1761.5,1748.2,0.18
5/14/2020,1746.1,1728.4,0.07
5/13/2020,1721.6,1710,0.08
5/12/2020,1713.4,1706.2,0.05
5/11/2020,1704.6,1714.2,0.37
5/8/2020,1719.3,1735.8,0.12
5/7/2020,1730,1698.4,0.17
5/6/2020,1692.7,1717.2,0.06
5/5/2020,1715,1708.3,0.07
